date,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat
2016-06-19_14-00,25,0,0,0,0,0,0,0,0
2016-06-19_15-00,22,0,1,0,0,0,0,0,0
2016-06-19_16-00,37,0,0,0,0,0,0,0,0
2016-06-19_17-00,29,0,2,0,0,0,0,0,0
2016-06-19_18-00,30,1,1,0,0,1,0,0,0
2016-06-19_19-00,21,1,1,0,0,1,0,0,0
2016-06-19_20-00,25,0,1,0,0,0,0,1,0
2016-06-19_21-00,33,1,1,0,0,0,0,0,0
2016-06-19_22-00,13,1,0,0,0,0,0,0,0
2016-06-19_23-00,2,1,0,0,0,1,0,0,0
2016-06-20_00-00,0,0,1,0,0,0,0,0,0
2016-06-20_01-00,0,0,1,0,0,0,0,0,0
2016-06-20_02-00,0,0,0,0,0,0,0,0,0
2016-06-20_03-00,2,0,0,0,0,0,0,0,0
2016-06-20_04-00,0,0,0,0,0,0,0,0,0
2016-06-20_06-00,1,0,2,0,0,0,0,0,0
2016-06-20_07-00,2,0,1,0,0,0,0,1,0
2016-06-20_08-00,0,0,1,0,0,0,0,0,0
2016-06-20_09-00,0,0,2,0,0,0,0,1,0
2016-06-20_10-00,12,0,4,0,0,0,0,1,0
2016-06-20_11-00,24,0,2,0,0,0,0,2,0
2016-06-20_12-00,15,1,3,0,0,1,0,1,0
2016-06-20_13-00,11,0,2,0,0,2,0,0,0
2016-06-20_14-00,22,0,3,0,0,0,0,2,0
2016-06-20_15-00,25,0,1,0,0,0,0,0,0
2016-06-20_16-00,19,0,0,0,0,0,0,0,0
2016-06-20_17-00,8,0,0,0,0,0,0,0,0
2016-06-20_18-00,36,0,1,0,0,0,0,1,0
2016-06-20_19-00,26,0,2,0,0,0,0,1,0
2016-06-20_20-00,25,0,0,0,0,0,0,0,0
2016-06-20_21-00,12,0,0,0,0,0,0,0,0
2016-06-20_22-00,13,0,0,0,0,0,0,0,0
2016-06-20_23-00,4,0,0,0,0,0,0,0,0
2016-06-21_00-00,7,0,0,0,0,0,0,0,0
2016-06-21_01-00,3,0,0,0,0,0,0,0,0
2016-06-21_02-00,4,0,0,0,0,0,0,0,0
2016-06-21_03-00,3,0,0,0,0,0,0,0,0
2016-06-21_04-00,1,0,0,0,0,0,0,0,0
2016-06-21_05-00,0,0,0,0,0,0,0,0,0
2016-06-21_06-00,1,0,0,0,0,0,0,0,0
2016-06-21_07-00,3,0,0,0,0,0,0,0,0
2016-06-21_08-00,2,0,0,0,0,0,1,0,0
2016-06-21_09-00,7,1,1,0,0,0,0,1,0
2016-06-21_10-00,6,0,1,0,0,1,0,1,0
2016-06-21_11-00,27,0,3,0,0,0,0,0,0
2016-06-21_12-00,17,0,2,0,0,1,0,1,0
2016-06-21_13-00,15,0,6,0,0,0,0,0,0
2016-06-21_14-00,15,1,3,0,0,0,0,0,0
2016-06-21_15-00,21,0,2,0,0,0,0,0,0
2016-06-21_16-00,18,0,1,0,0,0,0,0,0
2016-06-21_17-00,19,2,0,0,0,0,0,0,0
2016-06-21_18-00,22,1,1,0,0,0,0,0,0
2016-06-21_19-00,11,2,0,0,0,0,0,0,0
2016-06-21_20-00,32,1,1,0,0,0,0,0,0
2016-06-21_21-00,16,0,1,0,0,0,0,1,0
2016-06-21_22-00,16,0,2,0,0,0,0,0,0
2016-06-21_23-00,14,0,1,0,0,0,0,0,0
2016-06-22_00-00,11,0,2,0,0,0,0,0,0
2016-06-22_01-00,8,0,0,0,0,0,0,0,0
2016-06-22_02-00,0,0,2,0,0,0,0,0,0
2016-06-22_03-00,5,0,1,0,0,0,0,0,0
2016-06-22_04-00,3,0,0,0,0,0,0,0,0
2016-06-22_05-00,1,0,1,0,0,0,0,0,0
2016-06-22_06-00,3,0,0,0,0,0,0,0,0
2016-06-22_07-00,2,0,0,0,0,0,0,1,0
2016-06-22_08-00,6,1,1,0,0,0,0,1,0
2016-06-22_09-00,3,0,1,0,0,0,0,0,0
2016-06-22_10-00,12,1,2,0,0,0,0,1,0
2016-06-22_11-00,4,0,0,0,0,0,1,1,0
2016-06-22_12-00,12,0,2,0,0,0,0,0,0
2016-06-22_13-00,20,0,2,0,0,1,0,0,0
2016-06-22_14-00,12,0,1,0,0,2,0,0,0
2016-06-22_15-00,15,0,1,0,0,1,0,0,0
2016-06-22_16-00,11,1,0,0,0,0,0,0,0
2016-06-22_17-00,21,0,0,0,0,0,0,1,0
2016-06-22_18-00,19,1,1,0,0,0,0,0,0
2016-06-22_19-00,23,0,2,1,0,0,0,0,0
2016-06-22_20-00,24,0,1,0,0,0,0,0,0
2016-06-22_21-00,13,1,1,0,0,0,0,0,0
2016-06-22_22-00,16,0,0,0,0,0,0,0,0
2016-06-22_23-00,2,0,0,0,0,1,0,0,0
2016-06-23_00-00,6,0,0,0,0,0,0,0,0
2016-06-23_01-00,5,0,0,0,0,0,0,0,0
2016-06-23_02-00,11,0,0,0,0,0,0,0,0
2016-06-23_03-00,4,0,0,0,0,0,0,0,0
2016-06-23_04-00,1,0,0,0,0,0,0,0,0
2016-06-23_05-00,2,0,0,0,0,0,0,0,0
2016-06-23_06-00,2,0,0,0,0,0,0,0,0
2016-06-23_07-00,1,0,1,0,0,0,0,0,0
2016-06-23_08-00,3,0,1,0,0,0,0,0,0
2016-06-23_09-00,9,0,0,0,0,1,0,0,0
2016-06-23_10-00,5,0,3,0,0,0,0,2,0
2016-06-23_11-00,11,0,1,0,0,0,0,0,0
2016-06-23_12-00,27,1,1,0,0,2,0,0,0
2016-06-23_13-00,18,0,2,0,0,1,0,0,0
2016-06-23_14-00,19,0,0,0,0,0,0,0,0
2016-06-23_15-00,7,0,0,0,0,0,0,0,0
2016-06-23_16-00,20,0,1,0,0,1,0,0,0
2016-06-23_17-00,14,0,1,0,0,1,0,0,0
2016-06-23_18-00,10,0,0,0,0,1,0,0,0
2016-06-23_19-00,23,0,0,0,0,0,0,0,0
2016-06-23_20-00,25,0,1,0,0,0,0,0,0
2016-06-23_21-00,16,0,0,0,0,0,0,0,0
2016-06-23_22-00,23,1,2,0,0,0,0,0,0
2016-06-23_23-00,12,0,0,0,0,0,0,0,0
2016-06-24_00-00,6,0,0,0,0,0,0,0,0
2016-06-24_01-00,12,0,1,0,0,0,0,0,0
2016-06-24_02-00,8,0,0,0,0,0,0,0,0
2016-06-24_03-00,3,0,2,0,0,0,0,0,0
2016-06-24_04-00,2,0,0,0,0,1,0,1,0
2016-06-24_05-00,5,0,1,0,0,0,0,0,0
2016-06-24_06-00,5,0,0,0,0,0,0,0,0
2016-06-24_07-00,5,0,0,0,0,0,0,0,0
2016-06-24_08-00,2,0,1,0,0,0,0,0,0
2016-06-24_09-00,9,1,1,0,0,1,0,0,0
2016-06-24_10-00,12,0,0,0,0,0,0,0,0
2016-06-24_11-00,19,0,0,0,0,0,0,0,0
2016-06-24_12-00,8,0,1,0,0,1,0,0,0
2016-06-24_13-00,16,0,3,0,0,1,0,0,0
2016-06-24_14-00,23,0,1,0,0,0,0,0,0
2016-06-24_15-00,18,0,0,0,0,0,0,0,0
2016-06-24_16-00,18,0,2,0,0,0,0,0,0
2016-06-24_17-00,18,0,2,0,0,0,0,0,0
2016-06-24_18-00,18,0,2,0,0,0,0,0,0
2016-06-24_19-00,18,0,2,0,0,0,0,0,0
2016-06-24_20-00,18,0,2,0,0,0,0,0,0
2016-06-24_21-00,18,0,2,0,0,0,0,0,0
2016-06-24_22-00,18,0,2,0,0,0,0,0,0
2016-06-24_23-00,18,0,2,0,0,0,0,0,0
2016-06-25_00-00,18,0,2,0,0,0,0,0,0
2016-06-25_01-00,18,0,2,0,0,0,0,0,0
2016-06-25_02-00,18,0,2,0,0,0,0,0,0
2016-06-25_03-00,18,0,2,0,0,0,0,0,0
2016-06-25_04-00,8,0,0,0,0,0,0,0,0
2016-06-25_05-00,10,0,1,0,0,0,0,0,0
2016-06-25_06-00,2,0,0,0,0,0,0,0,0
2016-06-25_07-00,2,0,0,0,0,0,0,1,0
2016-06-25_08-00,1,0,1,0,0,0,0,0,0
2016-06-25_09-00,3,0,0,0,0,0,0,0,0
2016-06-25_10-00,12,0,0,0,0,1,0,1,0
2016-06-25_11-00,15,0,1,0,0,1,0,0,0
2016-06-25_12-00,10,0,1,0,0,1,0,0,0
2016-06-25_13-00,18,0,2,0,0,0,0,0,0
2016-06-25_14-00,10,0,1,0,0,0,0,0,0
2016-06-25_15-00,13,0,2,0,0,0,0,0,0
2016-06-25_16-00,22,1,1,0,0,1,0,0,0
2016-06-25_17-00,16,0,0,0,0,0,0,0,0
2016-06-25_18-00,28,1,1,0,0,0,0,0,0
2016-06-25_19-00,17,0,1,0,0,0,0,0,0
2016-06-25_20-00,19,0,3,0,0,0,0,0,0
2016-06-25_21-00,23,1,1,0,0,0,0,0,0
2016-06-25_22-00,26,0,1,0,0,0,0,0,0
2016-06-25_23-00,16,0,4,0,0,0,0,0,0
2016-06-26_00-00,14,0,2,0,0,0,0,0,0
2016-06-26_01-00,17,0,1,0,0,0,0,0,0
2016-06-26_02-00,12,0,1,0,0,0,0,0,0
2016-06-26_03-00,8,0,2,0,0,0,0,0,0
2016-06-26_04-00,6,0,1,0,0,0,0,0,0
2016-06-26_05-00,6,0,0,0,0,0,0,1,0
2016-06-26_06-00,9,0,0,0,0,0,0,0,0
2016-06-26_07-00,1,0,0,0,0,0,0,0,0
2016-06-26_08-00,3,0,0,0,0,0,0,1,0
2016-06-26_09-00,1,0,2,0,0,0,0,0,0
2016-06-26_10-00,10,0,0,0,0,0,0,0,0
2016-06-26_11-00,14,0,2,0,0,0,0,0,0
2016-06-26_12-00,19,0,2,0,0,0,0,0,0
2016-06-26_13-00,1,0,1,0,0,0,0,0,0
2016-06-26_14-00,18,0,1,0,0,1,1,0,0
2016-06-26_15-00,21,0,0,0,0,0,0,0,0
2016-06-26_16-00,12,0,1,0,0,0,0,0,0
2016-06-26_17-00,25,1,1,0,0,0,0,0,0
2016-06-26_18-00,16,2,5,0,0,0,0,0,0
2016-06-26_19-00,32,0,0,0,0,0,0,0,0
2016-06-26_20-00,25,2,0,0,0,0,0,0,0
2016-06-26_21-00,18,0,2,0,0,0,0,0,0
2016-06-26_22-00,18,0,0,0,0,0,0,0,0
2016-06-26_23-00,10,0,0,0,0,0,0,0,0
2016-06-27_00-00,10,0,0,0,0,0,0,0,0
2016-06-27_01-00,4,0,1,0,0,0,0,0,0
2016-06-27_02-00,2,0,0,0,0,0,0,0,0
2016-06-27_03-00,3,0,0,0,0,0,0,0,0
2016-06-27_04-00,1,0,0,0,0,0,0,0,0
2016-06-27_05-00,0,0,0,0,0,0,0,1,0
2016-06-27_06-00,0,0,0,0,0,0,0,0,0
2016-06-27_07-00,1,0,0,0,0,0,0,1,0
2016-06-27_08-00,5,1,2,0,0,0,0,0,0
2016-06-27_09-00,13,1,1,0,0,1,0,0,0
2016-06-27_10-00,25,1,4,0,0,2,0,0,0
2016-06-27_11-00,18,5,3,0,0,0,0,1,0
2016-06-27_12-00,20,1,2,0,0,0,0,1,0
2016-06-27_13-00,10,1,1,0,0,1,0,0,0
2016-06-27_14-00,18,1,4,0,0,0,0,0,0
2016-06-27_15-00,8,0,2,0,0,0,0,0,0
2016-06-27_16-00,8,0,2,0,0,0,0,0,0
2016-06-27_17-00,18,0,4,0,0,0,0,0,0
2016-06-27_18-00,17,0,1,0,0,1,1,0,0
2016-06-27_19-00,25,0,0,0,0,0,0,0,0
2016-06-27_20-00,22,0,3,0,0,1,0,0,0
2016-06-27_21-00,22,0,0,0,0,0,0,0,0
2016-06-27_22-00,7,0,0,0,0,0,0,0,0
2016-06-27_23-00,11,0,0,0,0,0,0,0,0
2016-06-28_00-00,2,0,0,0,0,0,0,0,0
2016-06-28_01-00,4,0,0,0,0,0,0,0,0
2016-06-28_02-00,2,0,0,0,0,0,0,0,0
2016-06-28_03-00,0,0,0,0,0,0,0,0,0
2016-06-28_04-00,0,0,0,0,0,0,0,0,0
2016-06-28_05-00,0,0,0,0,0,0,0,0,0
2016-06-28_06-00,0,0,0,0,0,0,0,0,0
2016-06-28_07-00,4,0,1,0,0,0,0,0,0
2016-06-28_08-00,6,1,1,0,0,0,1,1,0
2016-06-28_09-00,5,0,2,0,0,0,1,1,0
2016-06-28_10-00,3,0,0,0,0,1,1,0,0
2016-06-28_11-00,18,0,1,0,0,1,0,0,0
2016-06-28_12-00,22,1,2,0,0,0,0,0,0
2016-06-28_13-00,17,1,1,0,0,0,0,0,0
2016-06-28_14-00,22,0,2,0,0,0,0,0,0
2016-06-28_15-00,23,0,1,0,0,0,0,0,0
2016-06-28_16-00,21,0,2,0,0,1,0,0,0
2016-06-28_17-00,25,0,1,0,0,0,0,0,0
2016-06-28_18-00,22,0,0,0,0,0,0,0,0
2016-06-28_19-00,20,0,0,0,0,0,0,0,0
2016-06-28_20-00,26,1,2,0,0,0,0,1,0
2016-06-28_21-00,27,0,0,0,0,1,0,0,0
2016-06-28_22-00,21,0,0,0,0,0,0,0,0
2016-06-28_23-00,12,0,0,0,0,0,0,0,0
2016-06-29_00-00,5,0,0,0,0,0,0,0,0
2016-06-29_01-00,10,0,1,0,0,0,0,0,0
2016-06-29_02-00,5,0,0,0,0,0,0,0,0
2016-06-29_03-00,10,0,0,0,0,0,0,0,0
2016-06-29_04-00,2,0,1,0,0,0,0,1,0
2016-06-29_05-00,0,0,0,0,0,0,0,1,0
